,C4DMAM_1,C4Morpho_1,C4Me-SO4_1,C4MeOH_1,C4Br_1,C7Br_1,C4Me_1,Dluc_1,7Methyl_0n,7Morpho_0n,7Morpip_0n,7DMAM_0n
1,7.80E+03,-1.50E+02,1.41E+04,3.75E+05,6.32E+06,7.36E+06,9.12E+06,3.02E+07,2.33E+06,2.17E+03,1.76E+04,1.43E+05
2,-2.36E+03,-4.16E+02,-2.12E+03,1.79E+05,4.15E+05,9.85E+06,4.27E+05,8.38E+05,6.02E+06,-1.65E+04,1.44E+04,3.37E+04
3,2.99E+02,-2.49E+03,-3.05E+03,1.45E+05,3.93E+05,1.74E+06,5.39E+05,4.41E+05,3.58E+06,-7.91E+04,-7.44E+04,2.71E+03
4,3.50E+02,-1.36E+03,-9.39E+02,1.54E+05,4.30E+05,5.65E+06,5.18E+05,5.63E+05,7.03E+06,2.37E+03,9.45E+03,1.79E+04
5,1.06E+03,-2.37E+02,-2.00E+03,1.71E+05,4.45E+05,2.37E+06,5.11E+05,5.93E+05,5.48E+06,6.87E+02,1.39E+04,4.50E+03
13,1.10E+06,2.55E+05,2.81E+06,1.68E+07,1.45E+08,6.15E+08,7.48E+08,1.33E+09,1.38E+10,7.30E+07,3.71E+08,9.56E+08
14,3.07E+05,3.79E+04,6.87E+05,4.52E+06,4.86E+07,1.67E+08,1.42E+08,3.54E+08,6.86E+08,5.17E+05,1.59E+06,1.36E+07
15,3.98E+05,4.79E+04,8.38E+05,4.66E+06,7.31E+07,2.34E+08,2.24E+08,4.62E+08,1.17E+09,6.89E+05,3.78E+06,1.66E+07
16,4.37E+05,9.70E+04,1.25E+06,1.26E+07,1.60E+08,6.73E+08,5.80E+08,1.25E+09,2.12E+09,1.46E+06,7.30E+06,1.87E+07
17,3.14E+05,4.50E+04,6.14E+05,4.44E+06,2.47E+07,1.26E+08,1.11E+08,1.79E+08,2.15E+09,4.05E+06,4.96E+07,7.20E+07
18,7.04E+06,8.88E+04,3.11E+05,1.33E+06,1.27E+07,1.85E+07,2.63E+07,3.00E+07,5.65E+07,9.19E+05,3.60E+06,2.03E+07
19,4.41E+05,9.25E+04,1.05E+06,4.41E+06,2.84E+07,9.73E+07,7.75E+07,1.39E+08,7.97E+08,6.44E+06,1.92E+07,1.01E+08
20,1.01E+06,2.68E+05,3.85E+06,1.87E+07,1.29E+08,5.54E+08,4.66E+08,8.04E+08,2.58E+08,5.91E+05,1.42E+06,9.36E+06
21,3.32E+05,4.64E+04,7.21E+05,4.15E+06,1.90E+07,1.26E+08,8.15E+07,1.61E+08,2.18E+07,5.76E+04,2.45E+05,1.95E+06
22,5.04E+05,8.72E+04,1.73E+06,7.47E+06,2.06E+08,9.81E+08,6.96E+08,3.52E+09,5.71E+08,2.79E+06,1.10E+07,6.99E+07
23,1.16E+06,3.51E+05,4.39E+06,3.85E+07,4.09E+08,1.15E+09,1.41E+09,2.13E+09,6.54E+08,1.08E+06,3.03E+06,1.74E+07
24,1.48E+06,6.93E+05,8.19E+06,3.76E+07,1.69E+08,8.12E+08,7.42E+08,1.36E+09,4.75E+08,7.07E+05,2.25E+06,1.32E+07
25,1.06E+06,3.29E+06,3.71E+06,2.19E+07,1.13E+08,4.49E+08,5.26E+08,6.65E+08,3.30E+08,4.84E+05,1.95E+06,7.94E+06
26,5.23E+05,2.48E+05,1.41E+06,5.61E+06,1.87E+07,1.53E+08,7.58E+07,2.59E+08,8.86E+07,1.80E+05,4.74E+05,2.61E+06
27,1.35E+06,6.43E+05,5.83E+06,2.47E+07,1.21E+08,6.25E+08,4.83E+08,9.93E+08,5.20E+08,7.50E+05,1.92E+06,1.23E+07
28,8.47E+05,3.30E+05,2.59E+06,1.14E+07,4.40E+07,3.11E+08,1.58E+08,5.26E+08,1.41E+08,2.90E+05,5.63E+05,4.39E+06
29,7.69E+05,3.41E+05,2.55E+06,9.44E+06,7.11E+07,2.20E+08,2.30E+08,2.80E+08,2.01E+08,2.71E+05,5.64E+05,6.11E+06
30,1.64E+06,6.15E+05,7.49E+06,4.61E+07,2.43E+08,9.59E+08,9.21E+08,1.43E+09,4.81E+08,8.75E+05,2.35E+06,1.59E+07
31,1.89E+06,8.31E+05,8.55E+06,6.07E+07,2.09E+08,1.15E+09,1.04E+09,2.14E+09,5.47E+08,1.02E+06,2.59E+06,2.02E+07
32,1.43E+06,5.00E+05,5.71E+06,3.62E+07,1.59E+08,6.79E+08,5.60E+08,1.09E+09,3.79E+08,5.70E+05,1.05E+06,1.13E+07
33,9.48E+05,4.55E+05,4.01E+06,1.49E+07,5.43E+07,2.73E+08,1.88E+08,2.66E+08,1.70E+08,3.72E+05,4.86E+05,6.05E+06
34,8.89E+05,1.48E+05,1.71E+06,1.01E+07,2.85E+08,1.10E+09,7.41E+08,3.32E+09,4.68E+08,8.60E+05,4.65E+06,2.81E+07
35,4.76E+04,1.08E+05,6.81E+04,4.67E+05,5.74E+06,1.20E+07,5.20E+06,1.29E+07,5.98E+06,1.32E+03,3.39E+04,8.95E+04
36,1.91E+04,8.78E+03,5.47E+04,5.48E+05,1.63E+07,1.12E+08,1.42E+07,1.08E+08,5.34E+07,4.23E+04,8.38E+04,5.86E+05
37,1.25E+05,4.26E+04,2.82E+05,2.01E+06,1.87E+07,2.09E+08,2.96E+07,8.09E+08,1.07E+08,1.10E+05,2.45E+05,2.33E+06
38,3.40E+05,1.05E+05,9.77E+05,5.15E+06,1.68E+08,6.29E+08,4.56E+08,1.73E+09,3.23E+08,1.64E+05,4.37E+05,3.42E+06
39,5.15E+05,1.43E+05,2.28E+06,1.11E+07,3.73E+08,1.52E+09,1.01E+09,4.89E+09,9.84E+08,5.25E+05,2.19E+06,1.18E+07
40,4.62E+05,1.62E+05,1.23E+06,7.83E+06,1.66E+08,5.98E+08,5.50E+08,1.72E+09,7.91E+08,3.18E+05,2.06E+06,7.66E+06
41,8.77E+04,2.78E+04,2.01E+05,1.23E+06,4.97E+07,1.47E+08,1.20E+08,3.91E+08,1.05E+09,3.22E+05,1.40E+06,3.53E+06
42,4.59E+05,1.69E+05,1.76E+06,1.08E+07,3.82E+08,1.34E+09,1.04E+09,4.31E+09,1.09E+09,2.70E+05,1.71E+06,1.12E+07
43,2.07E+05,5.63E+04,5.40E+05,3.33E+06,6.72E+07,2.81E+08,1.87E+08,6.00E+08,1.07E+09,6.64E+05,2.50E+06,1.42E+07
44,3.49E+05,1.43E+05,7.20E+05,5.70E+06,2.68E+08,3.00E+08,3.96E+08,1.46E+09,9.01E+08,7.01E+05,1.12E+07,4.17E+07
45,2.44E+05,6.68E+04,5.07E+05,3.72E+06,9.81E+07,2.15E+08,1.96E+08,1.26E+09,4.34E+08,3.73E+05,6.28E+06,2.29E+07
47,2.53E+05,7.94E+04,4.96E+05,4.04E+06,9.62E+07,2.15E+08,2.15E+08,1.33E+09,3.69E+08,3.11E+05,5.67E+06,2.22E+07
48,2.51E+05,7.98E+04,5.11E+05,4.65E+06,1.17E+08,2.24E+08,2.26E+08,1.24E+09,3.77E+08,2.98E+05,6.23E+06,1.69E+07
49,3.08E+05,1.03E+05,5.54E+05,6.85E+06,2.36E+08,2.94E+08,4.85E+08,5.95E+08,2.51E+08,2.06E+05,3.41E+06,1.23E+07
50,5.38E+04,2.93E+04,2.73E+05,1.01E+07,3.85E+08,8.22E+06,9.84E+07,5.13E+06,3.28E+06,5.79E+03,2.57E+04,6.66E+04
51,6.66E+04,3.11E+04,3.45E+05,8.46E+06,4.15E+08,7.06E+06,5.08E+07,7.49E+06,1.74E+06,9.86E+03,3.19E+04,9.22E+04
52,8.54E+04,3.12E+04,8.51E+04,1.08E+06,5.57E+07,6.46E+07,7.68E+07,4.96E+07,5.15E+07,2.97E+04,2.46E+04,8.13E+05
53,6.23E+04,2.26E+04,1.27E+05,2.99E+06,3.60E+08,2.60E+07,4.81E+07,4.07E+07,1.32E+06,9.23E+03,3.11E+04,6.35E+04
54,8.02E+04,4.27E+04,1.56E+05,4.43E+06,4.92E+08,1.29E+07,2.41E+08,1.77E+07,2.84E+06,5.28E+03,6.66E+04,2.10E+05
55,2.12E+05,1.25E+05,1.03E+06,3.94E+07,1.87E+08,1.36E+08,4.99E+08,1.15E+08,4.62E+07,2.58E+04,3.32E+05,1.19E+06
56,9.77E+04,5.94E+04,3.44E+05,1.05E+07,1.47E+08,5.34E+07,3.17E+08,1.35E+07,1.37E+07,6.96E+03,8.08E+04,1.70E+05
57,1.89E+05,1.27E+05,8.78E+05,3.32E+07,1.17E+08,1.19E+08,2.63E+08,2.91E+07,1.83E+07,6.24E+03,1.04E+05,2.41E+05
58,2.45E+05,1.41E+05,1.42E+06,5.46E+07,2.26E+08,1.70E+08,5.50E+08,6.31E+07,4.99E+07,1.37E+04,3.17E+05,7.65E+05
59,2.06E+06,6.72E+05,1.35E+07,7.57E+07,3.05E+08,2.28E+09,8.26E+08,4.23E+09,3.92E+08,9.54E+05,3.51E+06,1.90E+07
60,4.24E+05,1.77E+05,1.21E+06,8.42E+06,2.03E+08,4.44E+08,5.62E+08,1.39E+09,3.07E+08,3.56E+05,1.29E+06,9.28E+06
61,5.42E+05,1.28E+05,1.83E+06,1.21E+07,2.14E+08,6.37E+08,3.92E+08,6.16E+08,1.00E+08,2.76E+05,5.10E+05,1.75E+06
62,3.46E+05,1.19E+05,6.33E+05,4.23E+06,1.17E+08,3.53E+08,2.64E+08,5.92E+08,1.01E+08,1.78E+05,5.02E+05,2.30E+06
63,3.31E+05,9.03E+04,7.22E+05,4.95E+06,8.55E+07,3.31E+08,2.58E+08,3.30E+08,1.13E+08,1.39E+05,2.11E+05,2.46E+06
64,5.66E+05,1.70E+05,2.07E+06,1.56E+07,3.45E+08,1.18E+09,9.77E+08,1.46E+09,5.27E+08,8.86E+05,3.13E+06,1.13E+07
65,4.56E+05,1.02E+05,1.42E+06,9.22E+06,1.45E+08,3.27E+08,1.50E+08,2.60E+08,3.94E+07,3.10E+05,9.41E+05,3.82E+06
66,2.23E+05,5.25E+04,5.21E+05,3.55E+06,3.86E+07,1.72E+08,1.05E+08,1.46E+08,6.71E+07,4.27E+04,9.26E+04,8.18E+05
67,3.12E+05,1.04E+05,6.68E+05,5.00E+06,1.25E+08,5.72E+08,3.81E+08,8.34E+08,3.20E+08,3.97E+05,6.87E+05,7.86E+06
68,1.49E+06,6.93E+05,7.52E+06,3.38E+07,7.50E+07,5.70E+08,1.87E+08,3.53E+08,9.35E+07,2.57E+06,7.32E+06,3.85E+07
69,1.06E+06,3.24E+05,5.24E+06,1.79E+07,7.06E+07,3.61E+08,1.72E+08,2.66E+08,9.76E+07,1.77E+05,4.43E+05,2.72E+06
70,5.05E+05,1.72E+05,1.19E+06,5.99E+06,2.27E+08,1.03E+09,6.23E+08,1.61E+09,6.89E+08,8.77E+05,3.08E+06,2.70E+07
71,6.41E+05,1.65E+05,2.37E+06,1.34E+07,2.86E+08,1.13E+09,9.31E+08,1.31E+09,4.80E+08,7.10E+05,1.19E+06,1.44E+07
72,2.08E+05,3.10E+04,2.08E+05,2.69E+06,4.98E+07,1.16E+08,1.29E+08,1.49E+08,4.47E+07,1.31E+05,4.65E+05,1.36E+06
73,1.50E+06,2.22E+05,2.35E+06,1.06E+07,6.07E+07,2.68E+08,1.74E+08,3.34E+08,8.26E+07,6.88E+04,7.47E+04,1.05E+06
74,1.60E+05,1.68E+04,8.06E+04,1.08E+06,5.75E+07,1.23E+08,8.63E+07,1.08E+08,5.57E+07,3.20E+04,4.87E+04,4.96E+05
75,1.01E+05,1.12E+04,9.07E+04,9.60E+05,3.02E+07,3.21E+08,5.78E+07,2.50E+08,9.98E+07,9.24E+04,3.33E+05,1.32E+06
76,2.34E+05,5.11E+04,5.07E+05,3.44E+06,5.26E+07,2.13E+08,3.66E+07,1.66E+08,4.51E+07,2.88E+04,5.86E+05,1.36E+06
77,6.67E+05,8.32E+04,8.35E+05,8.35E+06,1.97E+08,7.47E+08,4.52E+08,1.16E+09,3.10E+08,1.81E+05,3.05E+05,4.25E+06
78,5.92E+05,4.69E+04,3.72E+05,2.67E+06,6.37E+07,3.04E+08,1.57E+08,7.83E+08,2.12E+08,1.98E+05,3.38E+05,5.42E+06
79,4.96E+05,5.03E+05,7.91E+05,1.00E+07,2.21E+08,4.38E+08,3.08E+08,4.02E+08,1.65E+08,2.04E+05,3.04E+05,1.68E+06
80,1.74E+06,3.89E+05,4.24E+06,1.90E+07,1.04E+08,5.16E+08,2.03E+08,4.08E+08,1.13E+08,5.91E+05,4.84E+05,2.04E+06
81,2.35E+04,6.80E+05,6.21E+04,8.36E+05,2.32E+07,1.64E+07,1.55E+07,1.16E+07,1.04E+07,1.35E+04,1.63E+04,1.79E+05
82,1.26E+05,1.87E+04,1.29E+05,3.23E+06,1.56E+07,5.02E+07,3.87E+07,1.06E+08,2.23E+07,7.96E+04,5.02E+05,2.37E+06
83,2.90E+05,3.16E+04,3.07E+05,5.76E+06,4.32E+07,1.84E+08,5.91E+07,2.52E+08,2.39E+08,3.24E+05,3.54E+05,3.60E+06
84,8.77E+04,1.04E+04,9.70E+04,2.44E+06,1.10E+07,4.37E+07,3.20E+07,1.46E+08,8.43E+07,4.54E+04,3.95E+04,9.10E+05
85,6.07E+04,6.18E+03,6.55E+04,1.65E+06,1.06E+07,4.27E+07,3.14E+07,1.40E+08,8.46E+07,2.08E+04,6.85E+04,1.18E+06
86,2.70E+05,2.48E+04,1.57E+05,1.97E+06,1.75E+07,2.06E+08,2.46E+07,8.75E+08,7.16E+07,6.26E+04,1.26E+05,8.80E+05
87,6.24E+04,1.71E+04,6.81E+04,1.13E+06,7.17E+06,4.18E+07,2.12E+07,1.02E+08,6.49E+07,8.44E+04,9.08E+04,8.52E+05
88,2.98E+05,3.44E+04,2.18E+05,4.34E+06,2.70E+07,2.39E+08,5.02E+07,1.02E+09,1.59E+08,2.12E+05,2.69E+05,2.93E+06
89,2.21E+05,3.08E+04,2.71E+05,3.87E+06,2.86E+07,1.53E+08,6.89E+07,4.11E+08,2.86E+08,1.34E+05,2.97E+05,3.30E+06
90,1.75E+05,2.58E+04,1.04E+05,1.25E+06,1.13E+07,1.23E+08,2.06E+07,3.65E+08,1.01E+08,1.41E+05,1.51E+05,2.51E+06
91,3.04E+05,3.56E+04,2.84E+05,4.00E+06,2.70E+07,2.26E+08,3.33E+07,1.48E+09,3.03E+08,1.76E+05,2.81E+05,3.53E+06
92,2.73E+05,4.12E+04,3.48E+05,5.89E+06,4.98E+07,2.19E+08,6.97E+07,4.95E+08,2.46E+08,3.53E+05,5.08E+05,3.28E+06
93,2.16E+05,1.85E+04,7.98E+04,1.01E+06,8.77E+06,1.17E+08,1.08E+07,3.74E+08,6.49E+07,1.24E+05,1.48E+05,1.86E+06
94,1.43E+05,2.22E+04,1.50E+05,1.83E+06,1.59E+07,5.81E+07,2.73E+07,3.87E+08,7.72E+07,1.43E+05,1.78E+05,2.41E+06
95,4.60E+04,7.57E+03,3.92E+04,3.56E+05,1.06E+07,2.22E+07,2.01E+07,3.57E+07,7.97E+06,1.10E+05,4.16E+05,3.17E+06
96,3.62E+05,3.19E+04,3.56E+05,2.64E+06,1.02E+08,3.55E+08,3.54E+08,6.51E+08,4.98E+08,4.95E+05,6.33E+05,7.93E+06
97,3.54E+05,7.60E+04,6.37E+05,4.97E+06,6.85E+07,2.92E+08,1.40E+08,4.36E+08,1.42E+08,2.69E+05,6.26E+05,4.18E+06
98,5.55E+05,3.81E+04,5.16E+05,6.20E+06,1.62E+08,3.36E+08,3.19E+08,1.93E+09,1.98E+08,1.43E+05,1.94E+05,2.64E+06
99,6.30E+05,1.42E+05,4.88E+05,3.78E+06,6.44E+07,2.07E+08,1.46E+08,5.44E+08,1.21E+08,1.19E+05,1.52E+05,2.21E+06
100,3.46E+05,3.21E+04,3.62E+05,3.86E+06,7.73E+07,1.80E+08,2.09E+08,2.50E+08,1.39E+08,1.32E+05,2.08E+05,2.37E+06
101,3.98E+04,4.53E+03,1.71E+04,1.70E+05,1.26E+07,2.57E+07,2.79E+07,3.83E+07,3.73E+07,2.25E+04,9.59E+04,4.15E+05
102,3.97E+05,7.96E+04,2.44E+05,2.12E+06,1.17E+08,2.63E+08,1.73E+08,4.49E+08,5.86E+07,2.08E+05,1.30E+06,5.39E+06
103,5.95E+05,5.48E+04,4.23E+05,3.64E+06,2.37E+08,3.94E+08,3.97E+08,8.12E+08,1.08E+08,7.77E+05,2.04E+06,7.52E+06
104,2.27E+05,9.13E+03,1.46E+05,1.26E+06,3.05E+07,9.75E+07,8.56E+07,3.18E+08,1.32E+08,1.68E+05,1.32E+06,4.31E+06
105,2.25E+05,1.71E+04,2.23E+05,1.67E+06,2.45E+07,1.19E+08,8.37E+07,1.90E+08,6.07E+07,8.86E+05,2.89E+06,8.98E+06
107,6.56E+04,5.28E+03,4.33E+04,4.24E+05,1.78E+07,5.11E+07,4.27E+07,4.82E+07,7.35E+06,9.84E+04,2.87E+05,1.00E+06
108,6.24E+05,5.90E+04,7.16E+05,5.68E+06,2.68E+08,4.69E+08,4.28E+08,1.45E+09,4.06E+08,2.13E+06,6.12E+06,2.11E+07
109,2.50E+05,1.34E+04,1.48E+05,1.65E+06,6.99E+07,1.13E+08,1.04E+08,1.80E+08,3.35E+07,6.14E+05,1.50E+06,5.60E+06
110,1.12E+05,2.58E+04,1.89E+05,5.27E+06,2.16E+07,2.70E+07,7.14E+07,3.61E+07,4.95E+06,1.73E+04,1.01E+05,3.77E+05
111,1.36E+06,2.10E+05,4.66E+06,2.10E+07,1.01E+08,7.17E+08,3.60E+08,1.41E+09,2.56E+08,1.51E+07,2.72E+07,1.56E+08
112,2.92E+05,2.92E+04,9.73E+04,1.20E+06,3.96E+07,4.76E+07,5.33E+07,1.14E+08,3.94E+07,1.92E+05,7.66E+05,2.10E+06
113,1.60E+05,6.56E+03,8.70E+04,1.04E+06,2.37E+07,2.63E+07,3.79E+07,5.55E+07,1.20E+07,1.54E+05,5.42E+05,1.66E+06
114,6.30E+05,5.69E+04,5.54E+05,4.95E+06,8.77E+07,9.78E+07,1.02E+08,1.81E+08,2.69E+07,4.04E+05,6.07E+05,4.19E+06
115,5.37E+05,3.43E+04,3.09E+05,3.54E+06,6.20E+07,1.89E+08,1.73E+08,3.99E+08,9.53E+07,6.13E+05,1.11E+06,7.08E+06
116,7.72E+05,8.83E+04,6.85E+05,7.61E+06,1.63E+08,2.31E+08,2.57E+08,7.29E+08,1.64E+08,3.35E+05,2.70E+06,9.46E+06
117,7.72E+05,6.23E+04,7.57E+05,8.74E+06,1.93E+08,3.95E+08,3.86E+08,2.37E+09,3.64E+08,3.72E+05,3.06E+06,1.11E+07
118,1.05E+04,4.67E+03,1.02E+04,4.64E+04,2.20E+06,2.31E+06,2.32E+06,9.75E+06,1.91E+06,-2.62E+04,-1.10E+05,3.87E+04
119,4.46E+03,1.04E+04,3.20E+04,5.53E+04,1.74E+06,3.26E+06,2.77E+06,3.15E+06,8.86E+05,2.12E+03,9.33E+03,5.65E+04
120,6.98E+05,1.10E+06,9.57E+06,1.94E+07,2.17E+08,4.40E+08,4.34E+08,5.70E+08,1.61E+08,2.59E+05,1.53E+06,6.61E+06
121,8.99E+05,1.41E+05,1.54E+06,7.14E+06,5.69E+07,2.54E+08,1.75E+08,2.03E+08,6.87E+07,5.88E+05,2.99E+06,1.29E+07
122,5.67E+05,8.81E+04,6.31E+05,3.48E+06,6.44E+07,1.77E+08,2.16E+08,2.65E+08,4.08E+07,8.31E+05,4.27E+06,2.36E+07
123,4.27E+05,6.16E+04,6.79E+05,1.80E+06,2.01E+07,7.86E+07,5.75E+07,7.02E+07,2.62E+07,2.71E+05,1.12E+06,6.00E+06
124,5.24E+05,3.87E+04,6.22E+05,2.88E+06,8.95E+07,2.27E+08,2.10E+08,2.40E+08,4.82E+07,1.60E+05,1.06E+06,6.09E+06
125,1.92E+05,1.61E+04,1.85E+05,7.78E+05,4.13E+07,7.66E+07,9.14E+07,9.79E+07,1.42E+07,4.91E+04,3.09E+05,2.16E+06
126,3.89E+05,3.70E+04,4.10E+05,2.04E+06,9.54E+07,7.41E+07,1.03E+08,8.30E+07,2.63E+07,6.48E+04,2.52E+05,2.30E+06
127,4.72E+05,4.50E+04,5.24E+05,3.31E+06,1.84E+08,1.44E+08,2.37E+08,1.92E+08,5.58E+07,8.06E+04,3.20E+05,3.39E+06
128,4.53E+05,3.53E+04,4.47E+05,3.25E+06,8.61E+07,6.15E+07,1.56E+08,1.30E+08,2.44E+07,4.80E+04,3.49E+05,1.78E+06
129,9.92E+05,1.07E+05,1.05E+06,7.15E+06,3.36E+08,4.47E+08,4.60E+08,7.15E+08,1.69E+08,1.68E+05,2.20E+06,6.78E+06
130,4.79E+05,4.52E+04,7.02E+05,6.23E+06,1.20E+08,2.82E+08,2.76E+08,3.45E+08,1.14E+08,4.51E+05,1.47E+06,9.49E+06
131,1.65E+05,4.04E+04,1.40E+05,5.50E+05,1.41E+07,1.58E+07,2.98E+07,5.07E+07,8.09E+06,2.26E+04,1.23E+05,4.52E+05
132,2.01E+05,5.48E+03,1.78E+05,5.02E+05,8.82E+06,1.42E+07,2.09E+07,4.04E+07,7.87E+06,1.11E+04,9.67E+04,2.05E+05
133,1.51E+05,1.48E+04,1.72E+05,1.09E+06,3.40E+07,2.12E+07,2.06E+07,3.21E+07,7.57E+06,3.32E+04,1.85E+05,5.46E+05
134,3.19E+03,-2.03E+03,4.17E+03,7.18E+03,4.66E+05,5.13E+05,5.18E+05,6.37E+06,1.64E+05,5.64E+02,8.29E+03,7.12E+03
135,3.34E+05,1.83E+04,3.03E+05,1.47E+06,8.84E+07,7.63E+07,1.28E+08,2.15E+08,3.08E+07,1.35E+05,6.86E+05,4.38E+06
136,3.12E+05,3.41E+04,4.33E+05,2.17E+06,3.21E+07,6.69E+07,9.84E+07,1.15E+08,2.71E+07,1.71E+05,7.37E+05,2.34E+06
137,6.16E+05,3.52E+04,6.12E+05,3.85E+06,1.16E+08,7.09E+07,1.15E+08,1.62E+08,1.46E+07,7.58E+04,5.62E+05,1.22E+06
138,8.80E+03,2.57E+03,6.50E+03,4.99E+04,2.65E+06,1.99E+06,2.94E+06,8.81E+06,3.65E+05,1.35E+03,1.21E+04,2.97E+04
139,2.10E+05,1.48E+04,2.06E+05,9.33E+05,4.42E+07,3.34E+07,3.20E+07,6.77E+07,1.06E+07,3.35E+04,1.14E+05,9.74E+05
140,2.52E+05,1.78E+04,2.79E+05,1.61E+06,3.47E+07,4.60E+07,5.69E+07,4.97E+07,1.42E+07,4.94E+04,2.42E+05,8.98E+05
141,2.65E+06,4.83E+05,7.68E+06,2.05E+07,1.22E+08,7.09E+08,2.37E+08,6.07E+08,1.52E+08,3.80E+06,8.49E+06,8.43E+07
142,5.92E+04,6.82E+03,1.98E+04,2.22E+05,2.73E+07,1.20E+07,2.06E+07,4.82E+07,4.64E+06,5.95E+03,3.73E+04,1.79E+05
143,8.98E+05,3.67E+04,5.21E+05,4.13E+06,6.95E+07,1.53E+08,1.48E+08,3.61E+08,5.04E+07,2.71E+05,1.08E+06,7.65E+06
144,1.89E+06,3.15E+05,2.76E+06,2.00E+07,2.63E+08,3.73E+08,4.47E+08,4.19E+08,1.48E+08,6.04E+06,3.27E+07,2.32E+08
145,8.26E+05,3.49E+04,3.05E+05,3.08E+06,1.74E+08,1.45E+08,2.23E+08,3.64E+08,5.96E+07,1.10E+05,1.26E+06,3.94E+06
146,9.06E+05,9.42E+04,7.51E+05,7.65E+06,1.15E+08,3.06E+08,3.31E+08,9.76E+08,1.97E+08,1.91E+06,9.76E+06,6.13E+07
147,1.14E+06,9.90E+04,1.05E+06,1.05E+07,1.53E+08,3.60E+08,2.92E+08,4.99E+08,9.50E+07,5.61E+04,4.91E+05,2.02E+06
148,2.89E+05,6.77E+03,8.73E+04,4.81E+05,1.42E+07,4.85E+07,2.51E+07,8.42E+07,2.51E+07,7.40E+04,3.30E+05,1.33E+06
149,3.05E+05,1.50E+04,1.84E+05,1.53E+06,3.32E+07,6.76E+07,3.69E+07,6.87E+07,1.30E+07,7.28E+04,3.70E+05,2.75E+06
150,5.78E+05,3.08E+04,4.12E+05,2.29E+06,6.76E+07,2.68E+08,1.12E+08,6.24E+08,4.21E+07,8.07E+04,3.22E+05,3.06E+06
156,4.61E+04,2.00E+04,7.04E+04,2.79E+05,7.53E+06,3.30E+07,1.20E+07,1.83E+08,2.17E+07,4.75E+04,5.54E+04,8.36E+05
157,8.34E+05,3.09E+04,5.95E+05,2.66E+06,8.22E+07,2.61E+08,1.37E+08,8.01E+08,2.46E+08,7.79E+05,1.30E+06,1.53E+07
158,5.87E+05,2.67E+04,2.73E+05,1.61E+06,6.06E+07,1.86E+08,1.20E+08,3.28E+08,1.26E+08,1.90E+05,2.10E+05,6.33E+06
159,3.14E+05,1.73E+04,1.27E+05,8.17E+05,3.69E+07,5.98E+07,6.80E+07,1.33E+08,7.04E+07,2.75E+05,3.27E+05,8.02E+06
160,3.81E+04,8.01E+03,1.13E+05,1.06E+06,1.21E+07,7.43E+07,2.69E+07,4.00E+08,2.22E+07,3.94E+04,3.09E+04,1.10E+06
161,4.18E+05,2.16E+04,2.08E+05,9.35E+05,1.52E+07,6.09E+07,2.74E+07,6.31E+07,3.78E+07,3.44E+05,3.49E+05,4.28E+06
162,1.24E+04,6.26E+03,1.78E+04,5.27E+04,2.67E+06,2.07E+06,1.40E+06,1.49E+06,1.36E+06,4.13E+03,1.00E+04,3.62E+04
163,6.57E+03,4.52E+03,1.38E+04,5.48E+04,3.14E+06,2.23E+06,1.34E+06,2.92E+06,1.23E+06,5.38E+03,5.92E+03,2.84E+04
164,6.43E+04,4.88E+03,3.13E+04,1.92E+05,8.07E+06,1.80E+07,1.36E+07,2.21E+07,1.17E+07,6.12E+04,1.08E+05,4.68E+05
165,1.29E+06,1.77E+05,1.49E+06,2.17E+07,5.26E+08,8.29E+08,9.90E+08,1.87E+09,4.26E+08,6.67E+05,3.78E+06,3.03E+07
166,4.52E+06,9.72E+05,1.54E+07,6.58E+07,3.30E+08,3.82E+09,1.68E+09,3.95E+09,3.24E+09,2.92E+07,1.68E+08,8.46E+08
167,6.33E+05,7.51E+04,8.74E+05,1.08E+07,6.67E+07,1.46E+08,1.30E+08,2.22E+08,7.69E+07,1.23E+05,8.21E+05,5.96E+06
169,3.68E+06,1.15E+06,1.05E+07,5.51E+07,3.75E+08,7.47E+08,6.33E+08,7.30E+08,1.80E+08,6.41E+06,2.72E+07,2.70E+08
170,8.84E+05,3.57E+04,9.68E+05,2.48E+06,8.15E+07,4.61E+08,8.16E+07,1.16E+09,3.77E+07,1.12E+05,4.96E+05,4.81E+06
171,6.48E+05,2.24E+04,4.43E+05,3.17E+06,1.27E+08,3.82E+08,1.95E+08,1.15E+09,6.15E+07,5.22E+04,3.36E+05,2.44E+06
172,8.89E+05,3.86E+04,8.86E+05,3.94E+06,2.35E+08,5.67E+08,2.16E+08,1.22E+09,6.67E+07,5.24E+04,3.70E+05,2.84E+06
173,3.48E+05,3.89E+04,4.71E+05,6.32E+06,2.74E+07,2.12E+08,2.58E+07,6.68E+08,2.40E+07,9.33E+04,4.21E+05,3.43E+06
174,2.31E+05,4.02E+04,3.32E+05,4.12E+06,3.14E+07,8.62E+07,5.46E+07,1.25E+08,1.02E+07,8.10E+04,2.64E+05,2.57E+06